timestamp,object_x,error,turn_vel,left_setpoint,right_setpoint,object_found,robot_x,robot_y,robot_theta
2.46007,137.225,22.7755,0.455509,-1.54449,1.54449,1,0.0631999,0,0
2.48008,137.225,22.7755,0.455509,-1.54449,1.54449,1,0.064616,0,0
2.50007,131.859,28.1412,0.562824,-1.43718,1.43718,1,0.0660059,0,0
2.52006,131.859,28.1412,0.562824,-1.43718,1.43718,1,0.0671923,-1.40212e-07,2.87449e-06
2.54012,128.736,31.2643,0.625286,-1.37471,1.37471,1,0.0683806,-3.79663e-07,6.13864e-06
2.5601,128.736,31.2643,0.625286,-1.37471,1.37471,1,0.0695219,-5.45812e-07,8.97484e-06
2.58006,128.736,31.2643,0.625286,-1.37471,1.37471,1,0.0706215,-6.82463e-07,1.14156e-05
2.60011,128.481,31.5187,0.630373,-1.36963,1.36963,1,0.0717547,-8.03673e-07,1.3616e-05
2.62006,128.481,31.5187,0.630373,-1.36963,1.36963,1,0.0727625,-8.93844e-07,1.53201e-05
2.64012,128.481,31.5187,0.630373,-1.36963,1.36963,1,0.0738183,-9.72334e-07,1.68746e-05
2.66012,129.688,30.312,0.60624,-1.39376,1.39376,1,0.0748697,-1.03608e-06,1.82124e-05
2.6801,129.688,30.312,0.60624,-1.39376,1.39376,1,0.075923,-1.08703e-06,1.93638e-05
2.70007,129.688,30.312,0.60624,-1.39376,1.39376,1,0.0770399,-1.12866e-06,2.04029e-05
2.72008,131.903,28.0966,0.561932,-1.43807,1.43807,1,0.078049,-1.15711e-06,2.12077e-05
2.74011,131.903,28.0966,0.561932,-1.43807,1.43807,1,0.0791241,-1.17901e-06,2.19417e-05
2.76006,131.903,28.0966,0.561932,-1.43807,1.43807,1,0.0802165,-1.19351e-06,2.25734e-05
2.78006,134.599,25.4009,0.508017,-1.49198,1.49198,1,0.0813185,-1.20174e-06,2.31172e-05
2.80006,134.599,25.4009,0.508017,-1.49198,1.49198,1,0.0824945,-1.20442e-06,2.36079e-05
2.82007,137.124,22.8757,0.457514,-1.54249,1.54249,1,0.0835739,-1.20208e-06,2.3988e-05
2.8401,137.124,22.8757,0.457514,-1.54249,1.54249,1,0.0847349,-1.19533e-06,2.43347e-05
2.86007,137.124,22.8757,0.457514,-1.54249,1.54249,1,0.0859205,-1.18463e-06,2.46331e-05
