timestamp,object_x,object_y,error_th,error_x,th_set,x_set,left_vel,right_vel,object_found,robot_x,robot_y,robot_theta
2.20013,0,0,45,45,0,0,0,0,0,0,0,0
2.22015,0,0,45,45,0,0,0,0,0,0,0,0
2.24015,0,0,45,45,0,0,0,0,0,0,0,0
2.26021,0,0,45,45,0,0,0,0,0,0,0,0
2.28031,0,0,45,45,0,0,0,0,0,0,0,0
2.30019,0,0,45,45,0,0,0,0,0,0,0,0
2.32014,0,0,45,45,0,0,0,0,0,0,0,0
2.34017,0,0,45,45,0,0,0,0,0,0,0,0
2.36015,0,0,45,45,0,0,0,0,0,0,0,0
2.3802,0,0,45,45,0,0,0,0,0,0,0,0
2.40014,0,0,45,45,0,0,0,0,0,0,0,0
2.42016,0,0,45,45,0,0,0,0,0,0,0,0
2.44017,0,0,45,45,0,0,0,0,0,0,0,0
2.46019,0,0,45,45,0,0,0,0,0,0,0,0
2.48015,0,0,45,45,0,0,0,0,0,0,0,0
2.50013,0,0,45,45,0,0,0,0,0,0,0,0
2.52017,0,0,45,45,0,0,0,0,0,0,0,0
2.54014,0,0,45,45,0,0,0,0,0,0,0,0
2.56015,0,0,45,45,0,0,0,0,0,0,0,0
2.58012,0,0,45,45,0,0,0,0,0,0,0,0
2.60018,0,0,45,45,0,0,0,0,0,0,0,0
2.62013,0,0,45,45,0,0,0,0,0,0,0,0
2.64015,0,0,45,45,0,0,0,0,0,0,0,0
2.66016,0,0,45,45,0,0,0,0,0,0,0,0
2.68014,0,0,45,45,0,0,0,0,0,0,0,0
2.70012,0,0,45,45,0,0,0,0,0,0,0,0
2.72013,0,0,45,45,0,0,0,0,0,0,0,0
2.74019,0,0,45,45,0,0,0,0,0,0,0,0
2.76016,0,0,45,45,0,0,0,0,0,0,0,0
2.78013,0,0,45,45,0,0,0,0,0,0,0,0
2.80016,0,0,45,45,0,0,0,0,0,0,0,0
2.82013,0,0,45,45,0,0,0,0,0,0,0,0
2.84016,0,0,45,45,0,0,0,0,0,0,0,0
2.86014,0,0,45,45,0,0,0,0,0,0,0,0
2.88017,0,0,45,45,0,0,0,0,0,0,0,0
2.90013,0,0,45,45,0,0,0,0,0,0,0,0
